HHID,HHSIZE,BIKES,HHVEH,EBIKES,ESCOOTER,DWELLTYPE,SURVEYWEEK,STRATA_LGA,TRAVDATE,TRAVMONTH,TRAVYEAR,TRAVDOW,HOME_SA1_2021,HHWGT_20
90670,1,0,0,0,0,Separate house,1,11,14,10,2020,3,31802147101,23.17869001
90672,2,0,2,0,0,Separate house,1,11,16,10,2020,5,31802147101,25.29879984
90673,2,2,2,0,0,Separate house,1,11,12,10,2020,1,31802147101,25.29879984
90674,1,0,0,0,0,Separate house,1,11,13,10,2020,2,31802147101,23.17869001
90676,4,0,0,0,0,Separate house,1,11,15,10,2020,4,31802147101,38.1196772
90679,2,1,0,0,0,Separate house,1,11,13,10,2020,2,31802147101,25.29879984
90680,3,0,0,0,0,Separate house,1,11,14,10,2020,3,31802147101,30.44441848
90681,2,0,0,0,0,Separate house,1,11,15,10,2020,4,31802147101,25.29879984
90684,8,4,4,0,0,Separate house,1,11,13,10,2020,2,31802147101,51.10563103
90685,2,0,2,0,0,Separate house,1,11,14,10,2020,3,31802147101,25.29879984
90689,4,4,2,0,0,Separate house,1,11,13,10,2020,2,31802147101,38.1196772
90692,2,0,2,0,0,Separate house,1,11,16,10,2020,5,31802147101,25.29879984
90696,2,1,2,0,0,Separate house,1,11,15,10,2020,4,31802147101,25.29879984
90697,4,0,1,0,0,Separate house,1,11,16,10,2020,5,31802147101,38.1196772
90699,2,2,2,0,0,Separate house,1,11,13,10,2020,2,31802147101,25.29879984
90702,2,0,2,0,0,Separate house,1,11,16,10,2020,5,31802158210,25.29879984
90704,3,0,3,0,0,Separate house,1,11,13,10,2020,2,31802158210,30.44441848
90705,4,0,4,0,0,Separate house,1,11,14,10,2020,3,31802158210,38.1196772
90709,2,0,2,0,0,Separate house,1,11,13,10,2020,2,31802158210,25.29879984
90710,2,0,2,0,0,Separate house,1,11,14,10,2020,3,31802158210,25.29879984
90711,1,0,2,0,0,Separate house,1,11,15,10,2020,4,31802158210,23.17869001
90713,5,3,2,0,0,Separate house,1,11,12,10,2020,1,31802158210,51.10563103
90725,2,1,1,0,0,Separate house,1,11,13,10,2020,2,31802158210,25.29879984
90726,2,0,2,0,0,Separate house,1,11,14,10,2020,3,31802158210,25.29879984
90727,4,2,1,0,0,Separate house,1,11,15,10,2020,4,31802158210,38.1196772
90731,5,3,2,0,0,Separate house,1,11,14,10,2020,3,31802148242,51.10563103
90732,4,1,2,0,0,Separate house,1,11,15,10,2020,4,31802148242,38.1196772
90735,2,2,2,0,0,Separate house,1,11,13,10,2020,2,31802148242,25.29879984
90737,2,2,2,0,0,Separate house,1,11,15,10,2020,4,31802148242,25.29879984
90738,2,2,2,0,0,Separate house,1,11,16,10,2020,5,31802148242,25.29879984
90740,2,0,1,0,0,Separate house,1,11,13,10,2020,2,31802148242,25.29879984
90741,2,0,2,0,0,Separate house,1,11,14,10,2020,3,31802148242,25.29879984
90742,3,0,1,0,0,Separate house,1,11,15,10,2020,4,31802148242,30.44441848
90743,4,1,2,0,0,Separate house,1,11,16,10,2020,5,31802148242,38.1196772
90745,4,3,2,0,0,Separate house,1,11,13,10,2020,2,31802148242,38.1196772
90746,3,2,1,0,0,Separate house,1,11,14,10,2020,3,31802148242,30.44441848
90747,2,1,2,0,0,Separate house,1,11,15,10,2020,4,31802148242,25.29879984
90749,3,3,2,0,0,Separate house,1,11,12,10,2020,1,31802148242,30.44441848
90752,1,0,1,0,0,Separate house,1,11,15,10,2020,4,31802148242,23.17869001
90755,4,0,2,0,0,Separate house,1,11,13,10,2020,2,31802148242,38.1196772
90756,2,2,2,0,0,Separate house,1,11,14,10,2020,3,31802148242,25.29879984
90757,5,2,2,0,0,Separate house,1,11,15,10,2020,4,31802148242,51.10563103
90759,3,3,2,0,0,Separate house,1,11,12,10,2020,1,31802148242,30.44441848
90761,2,0,2,0,0,Separate house,1,11,14,10,2020,3,31802148415,25.29879984
90762,4,0,2,0,0,Separate house,1,11,15,10,2020,4,31802148415,38.1196772
90763,4,2,3,0,0,Separate house,1,11,16,10,2020,5,31802148415,38.1196772
90765,4,4,4,0,0,Separate house,1,11,13,10,2020,2,31802148415,38.1196772
90766,1,0,1,0,0,"Semi-detached house, terrace house, townhouse, etc.",1,11,14,10,2020,3,31802148415,23.17869001
90769,2,0,2,0,0,Separate house,1,11,12,10,2020,1,31802148415,25.29879984
90770,3,0,2,0,0,Separate house,1,11,13,10,2020,2,31802148415,30.44441848
90773,5,5,4,0,0,Separate house,1,11,16,10,2020,5,31802148415,51.10563103
90776,4,0,5,0,0,Separate house,1,11,14,10,2020,3,31802148415,38.1196772
90777,3,2,3,0,0,Separate house,1,11,15,10,2020,4,31802148415,30.44441848
90780,2,0,2,0,0,Separate house,1,11,13,10,2020,2,31802148415,25.29879984
90781,2,2,2,0,0,Separate house,1,11,14,10,2020,3,31802148415,25.29879984
90782,3,3,1,0,0,Separate house,1,11,15,10,2020,4,31802148415,30.44441848
90784,2,1,1,0,0,Separate house,1,11,12,10,2020,1,31802148415,25.29879984
90785,5,5,2,0,3,Separate house,1,11,13,10,2020,2,31802148415,51.10563103
90787,4,0,2,0,0,Separate house,1,11,15,10,2020,4,31802148415,38.1196772
90788,1,2,1,0,0,Separate house,1,11,16,10,2020,5,31802148415,23.17869001
90791,2,4,0,0,0,Separate house,1,11,14,10,2020,3,31802148703,25.29879984
90794,5,5,2,0,0,Separate house,1,11,12,10,2020,1,31802148703,51.10563103
90796,4,4,2,0,0,Separate house,1,11,14,10,2020,3,31802148703,38.1196772
90797,3,2,2,0,0,Separate house,1,11,15,10,2020,4,31802148703,30.44441848
90804,4,2,3,0,0,Separate house,1,11,12,10,2020,1,31802148703,38.1196772
90806,1,0,1,0,0,Separate house,1,11,15,10,2020,4,31802148703,23.17869001
90808,4,1,3,0,0,Separate house,1,11,12,10,2020,1,31802148703,38.1196772
90809,2,1,3,0,0,,1,11,13,10,2020,2,31802148703,25.29879984
90812,1,0,1,0,0,Separate house,1,11,16,10,2020,5,31802148703,23.17869001
90815,2,1,2,0,0,Separate house,1,11,14,10,2020,3,31802148703,25.29879984
90817,2,0,3,0,0,Separate house,1,11,16,10,2020,5,31802148703,25.29879984
90819,6,6,2,0,0,Separate house,1,11,13,10,2020,2,31802148703,51.10563103
90852,4,0,3,0,0,,2,11,22,10,2020,4,31802158237,38.1196772
90853,1,1,1,0,0,Separate house,2,11,23,10,2020,5,31802158237,23.17869001
90854,2,0,2,2,0,,2,11,19,10,2020,1,31802158237,25.29879984
90855,4,0,4,0,0,,2,11,20,10,2020,2,31802158237,38.1196772
90861,2,0,1,0,0,,2,11,21,10,2020,3,31802158237,25.29879984
90862,2,1,1,0,0,Separate house,2,11,22,10,2020,4,31802158237,25.29879984
90865,2,0,1,0,0,Separate house,2,11,20,10,2020,2,31802158237,25.29879984
90870,2,0,2,0,0,,2,11,20,10,2020,2,31802158237,25.29879984
90871,1,0,1,0,0,,2,11,21,10,2020,3,31802158237,23.17869001
90872,5,0,5,0,0,,2,11,22,10,2020,4,31802158237,51.10563103
90873,2,0,1,0,0,,2,11,23,10,2020,5,31802158237,25.29879984
90875,1,1,1,0,0,Separate house,2,11,20,10,2020,2,31802158237,23.17869001
90877,2,1,1,0,0,Separate house,2,11,22,10,2020,4,31802158237,25.29879984
90884,2,0,1,0,0,Separate house,2,11,19,10,2020,1,31802147702,25.29879984
90885,2,0,2,0,0,Separate house,2,11,20,10,2020,2,31802147702,25.29879984
90887,2,2,3,0,0,Separate house,2,11,22,10,2020,4,31802147702,25.29879984
90890,1,3,1,0,0,Separate house,2,11,20,10,2020,2,31802147702,23.17869001
90891,2,0,1,0,0,Separate house,2,11,21,10,2020,3,31802147702,25.29879984
90895,3,0,1,0,0,Separate house,2,11,20,10,2020,2,31802147702,30.44441848
90900,2,0,1,0,0,Separate house,2,11,20,10,2020,2,31802147702,25.29879984
90901,1,0,1,0,0,Separate house,2,11,21,10,2020,3,31802147702,23.17869001
90902,1,0,1,0,0,Separate house,2,11,22,10,2020,4,31802147702,23.17869001
90904,2,0,2,0,0,Separate house,2,11,19,10,2020,1,31802147702,25.29879984
90908,2,4,2,0,0,Separate house,2,11,23,10,2020,5,31802147702,25.29879984
90910,2,2,2,0,0,Separate house,2,11,20,10,2020,2,31802148504,25.29879984
90911,2,0,2,0,0,Separate house,2,11,21,10,2020,3,31802148504,25.29879984
90915,2,2,2,0,0,Separate house,2,11,20,10,2020,2,31802148504,25.29879984
90916,1,0,1,0,0,"Semi-detached house, terrace house, townhouse, etc.",2,11,21,10,2020,3,31802148504,23.17869001
90917,1,0,1,0,0,Separate house,2,11,22,10,2020,4,31802148504,23.17869001
90923,3,3,2,0,0,Separate house,2,11,23,10,2020,5,31802148504,30.44441848
90927,1,0,2,0,0,Separate house,2,11,22,10,2020,4,31802148504,23.17869001
90928,1,0,1,0,0,Separate house,2,11,23,10,2020,5,31802148504,23.17869001
90931,4,4,2,0,0,Separate house,2,11,21,10,2020,3,31802148504,38.1196772
90935,4,5,2,0,0,Separate house,2,11,20,10,2020,2,31802148504,38.1196772
90936,3,0,1,1,0,Separate house,2,11,21,10,2020,3,31802148504,30.44441848
90937,3,3,2,0,0,Separate house,2,11,22,10,2020,4,31802148504,30.44441848
90938,1,1,1,0,0,Separate house,2,11,23,10,2020,5,31802148504,23.17869001
90939,3,1,1,0,0,Separate house,2,11,19,10,2020,1,31802148504,30.44441848
90941,2,0,2,0,0,Separate house,2,11,21,10,2020,3,31802148509,25.29879984
90952,2,0,1,0,0,,2,11,22,10,2020,4,31802148509,25.29879984
90956,1,0,1,0,0,Separate house,2,11,21,10,2020,3,31802148509,23.17869001
90957,2,0,1,0,0,,2,11,22,10,2020,4,31802148509,25.29879984
90958,1,1,1,0,0,"Unit, flat, or apartment (less than 4 storeys)",2,11,23,10,2020,5,31802148509,23.17869001
90967,1,1,1,0,0,"Unit, flat, or apartment (less than 4 storeys)",2,11,22,10,2020,4,31802148509,23.17869001
90968,2,0,1,0,0,"Unit, flat, or apartment (less than 4 storeys)",2,11,23,10,2020,5,31802148509,25.29879984
90971,1,0,1,0,0,Separate house,2,11,21,10,2020,3,31802149102,23.17869001
90972,3,2,1,0,0,Separate house,2,11,22,10,2020,4,31802149102,30.44441848
90974,2,1,1,0,0,Separate house,2,11,19,10,2020,1,31802149102,25.29879984
90978,1,0,0,0,0,Separate house,2,11,23,10,2020,5,31802149102,23.17869001
90980,2,0,2,0,0,Separate house,2,11,20,10,2020,2,31802149102,25.29879984
90981,2,2,1,2,0,Separate house,2,11,21,10,2020,3,31802149102,25.29879984
90983,3,2,1,0,2,Separate house,2,11,23,10,2020,5,31802149102,30.44441848
90984,2,0,2,0,0,Separate house,2,11,19,10,2020,1,31802149102,25.29879984
90985,1,2,1,0,0,Separate house,2,11,20,10,2020,2,31802149102,23.17869001
90986,2,0,2,0,0,Separate house,2,11,21,10,2020,3,31802149102,25.29879984
90987,5,2,1,0,0,Separate house,2,11,22,10,2020,4,31802149102,51.10563103
90988,2,2,1,0,0,Separate house,2,11,23,10,2020,5,31802149102,25.29879984
90989,4,0,2,0,0,Separate house,2,11,19,10,2020,1,31802149102,38.1196772
90994,1,1,1,0,0,Separate house,2,11,19,10,2020,1,31802149102,23.17869001
90995,2,0,1,0,0,Separate house,2,11,20,10,2020,2,31802149102,25.29879984
90996,2,2,3,0,0,Separate house,2,11,21,10,2020,3,31802149102,25.29879984
90998,3,0,2,0,0,Separate house,2,11,23,10,2020,5,31802149102,30.44441848
90999,1,0,1,0,1,Separate house,2,11,19,10,2020,1,31802149102,23.17869001
91001,1,0,1,0,0,,2,11,21,10,2020,3,31802149114,23.17869001
91006,2,2,2,0,0,,2,11,21,10,2020,3,31802149114,25.29879984
91008,1,0,1,0,0,,2,11,23,10,2020,5,31802149114,23.17869001
91019,2,0,2,0,0,,2,11,19,10,2020,1,31802149114,25.29879984
91031,2,2,1,0,0,Separate house,3,11,28,10,2020,3,31802147211,25.29879984
91041,1,1,1,0,0,Separate house,3,11,28,10,2020,3,31802147211,23.17869001
91042,2,0,2,0,0,Separate house,3,11,29,10,2020,4,31802147211,25.29879984
91043,2,0,2,0,0,Separate house,3,11,30,10,2020,5,31802147211,25.29879984
91045,1,0,1,0,0,Separate house,3,11,27,10,2020,2,31802147211,23.17869001
91049,1,0,1,0,0,Separate house,3,11,26,10,2020,1,31802147211,23.17869001
91050,4,3,3,0,0,Separate house,3,11,27,10,2020,2,31802147211,38.1196772
91051,2,0,1,0,0,Separate house,3,11,28,10,2020,3,31802147211,25.29879984
91053,2,0,2,0,0,Separate house,3,11,30,10,2020,5,31802147211,25.29879984
91056,4,1,0,0,0,Separate house,3,11,28,10,2020,3,31802147211,38.1196772
91059,5,0,2,0,0,Separate house,3,11,26,10,2020,1,31802147211,51.10563103
91062,1,0,2,0,0,Separate house,3,11,29,10,2020,4,31802147813,23.17869001
91064,2,1,1,0,0,"Unit, flat, or apartment (less than 4 storeys)",3,11,26,10,2020,1,31802147813,25.29879984
91067,1,0,1,0,0,"Unit, flat, or apartment (less than 4 storeys)",3,11,30,10,2020,5,31802147813,23.17869001
