HHID,PERSID,AGEGROUP,SEX,RELATIONSHIP,CARLICENCE,CARLICTYPE,MCLICENCE,MCLICTYPE,OTHERLICENCE,WORKSTATUS,ANZSCO_1-digit,ANZSCO_3-digit,INDUSTRY,STUDYING,ED_TYPE,MAINACT,STARTPLACE,ANYSTOPS,LASTLEFT,ASSISTAGE,ASSISTLTHC,ASSISTSTHC,ASSISTDISABILITY,ASSISTENGLISH,ASSISTOTHER,ASSISTANY,WFHDAY,WFHWEEK,WFHCORONA,NQSTADIUMATTEND,NQSTADIUMYEAR,NQSTADIUMEVENT,NQSTADIUMDRIVER,NQSTADIUMEVENTOTHER,NQSTADIUMPASSENGER,NQSTADIUMEVENTSHUTTLE,NQSTADIUMPUBLICBUS,NQSTADIUMUBERTAXI,NQSTADIUMBICYCLE,NQSTADIUMWALK,DEMOGWGT20,PERSWGT20
100017,100017/1000,11,female,,TRUE,fullLicence,TRUE,fullLicence,FALSE,workFullTime,2,241,education,,,Full-time Work,home,TRUE,,,,,,,,0,FALSE,0,0,1,2020,concert,,,,1,,,,,1.192860126,27.64893532
100019,100019/1000,11,female,,TRUE,fullLicence,FALSE,,FALSE,workFullTime,5,512,health,,,Full-time Work,home,TRUE,,,,,,,,0,FALSE,0,0,1,2020,other,1,Xmas party,,,,,,1,1.192860126,27.64893532
100023,100023/1000,15,female,,FALSE,,FALSE,,FALSE,retired,,,,,,Retired,home,TRUE,,,1,,,,,1,FALSE,,,0,,,,,,,,,,,0.974782407,22.59417915
100025,100025/1000,14,female,,TRUE,fullLicence,FALSE,,FALSE,workPartTime,3,351,accom,,,Part-time Work,home,TRUE,,,,,,,,0,FALSE,0,0,0,,,,,,,,,,,0.915881872,23.17071152
100025,100025/1001,14,male,spouse,TRUE,fullLicence,FALSE,,FALSE,workPartTime,2,200,financial,,,Part-time Work,home,TRUE,,,,,,,,0,FALSE,0,0,1,2020,other_sporting,,,1,,,,,,1.185264945,29.98578072
100026,100026/1000,16,male,,TRUE,fullLicence,FALSE,,FALSE,retired,,,,,,Retired,home,TRUE,,,,,,,,0,FALSE,,,1,2021,football,1,,,,,,,,1.156279922,29.25249481
100026,100026/1001,16,female,spouse,TRUE,fullLicence,FALSE,,FALSE,retired,,,,,,Retired,home,TRUE,,,,,,,,0,FALSE,,,0,,,,,,,,,,,1.178149343,29.80576515
100028,100028/1000,7,female,,TRUE,fullLicence,FALSE,,FALSE,workFullTime,2,254,health,,,Full-time Work,home,TRUE,,,,,,,,0,TRUE,2,0,0,,,,,,,,,,,0.939867496,23.77751923
100028,100028/1001,7,male,spouse,TRUE,fullLicence,FALSE,,TRUE,workFullTime,4,441,other,,,Full-time Work,home,TRUE,,,,,,,,0,FALSE,1,0,0,,,,,,,,,,,1.159203172,29.32644844
100075,100075/1000,14,female,,TRUE,fullLicence,FALSE,,FALSE,workFullTime,,,education,,,Full-time Work,home,TRUE,,,,,,,,0,FALSE,0,0,0,,,,,,,,,,,0.915881872,23.17071152
